A813 Cagny,220,49.168165,-0.247033,A13,false,0.7,0.7,1,1,1.4,1.4,1.9,1.9,0.4,0.4
Troan (31),216,49.179148,-0.201187,A13,false,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Dozulé (30),205,49.230276,-0.084026,A13,false,1.7,1.7,2.9,2.9,3.8,3.8,5.3,5.3,1.1,1.1
Péage A13 Dozulé,205,49.229632,-0.076455,A13,false,3.4,3.4,5.4,5.4,7.3,7.3,11.1,11.1,2,2
Péage A13 Beuzeville,168,49.337857,0.364639,A13,false,5.5,5.5,7.9,7.9,10.9,10.9,15.2,15.2,3.1,3.1
Beuzeville (28),168,49.339733,0.370512,A13,false,3.9,1.4,5.8,2.2,7.9,2.5,10.6,4.2,2.4,0.8
Boumeville (26),147,49.3771,0.628828,A13,false,2.9,2.9,4.4,4.4,6.7,6.7,8.6,8.6,1.7,1.7
Bourg-Achard (25),133,49.366747,0.816983,A13,false,1.6,1.6,2.1,2.1,2.6,2.6,3.6,3.6,0.9,0.9
Incarville (A154),99,49.247122,1.181164,A13,false,2.1,2.1,3.2,3.2,4,4,5.5,5.5,1.1,1.1
Péage A13 Heudebouville,93,49.191432,1.232429,A13,false,3.6,3.6,5.7,5.7,8.1,8.1,11.6,11.6,2.3,2.3
Péage A13 Buchelay,50,48.983630,1.681200,A13,false,2.7,2.7,4.1,4.1,5.4,5.4,8.6,8.6,1.8,1.8
Péage A14 Montesson,10,48.913734,2.157252,A14,false,8.3,8.3,16.4,16.4,29.2,29.2,38.9,38.9,4.2,4.2
Chambourcy (6.a),15,48.912221,2.045603,A14,false,2.6,2.6,5.2,5.2,9.4,9.4,12.4,12.4,1.3,1.3
Péage A29 Quetteville,1,49.322090,0.308000,A29,false,1.1,1.1,2.1,2.1,2.9,2.9,3.5,3.5,0.6,0.6
Plateau (2),13,49.391931,0.250875,A29,false,0.5,0.5,0.5,0.5,1.2,1.2,1.2,1.2,0.5,0.5
Pont de Normandie,20,49.450017,0.271556,A29,false,5.4,5.4,6.3,6.3,6.80,6.80,13.5,13.5,0,0
Péage A29 Epretot,35,49.551727,0.335471,A29,true,null,null,,,,,,,,
St-Romain-de-Colbosc (6),35,49.551086,0.338320,A29,true,null,null,,,,,,,,
Bolbec (7),44,49.581465,0.443071,A29,true,null,null,,,,,,,,
Yvetôt Ouest (8),61,49.632497,0.640055,A29,true,null,null,,,,,,,,
Yerville (9),77,49.647746,0.842770,A29,true,null,null,,,,,,,,
Totes,94,49.635262,1.049537,A29,true,null,null,,,,,,,,
Péage A29 Cottévrad,108,49.646837,1.242648,A29,true,null,null,,,,,,,,
Péage A131 Boumeville,147,49.386339,0.602437,A13,false,2.9,2.9,4.4,4.4,6.7,6.7,8.6,8.6,1.7,1.7
Heudebouville (18),93,49.191353,1.231751,A13,false,2,2,2.9,2.9,3.7,3.7,4.9,4.9,1.2,1.2
